filename,status,REF_size_MB,REF_size_bytes,REF_duration_s,REF_fps,REF_width,REF_height,REF_codec,REF_pix_fmt,REF_bitrate_kbps,REF_nb_frames_meta,GEN_size_MB,GEN_size_bytes,GEN_duration_s,GEN_fps,GEN_width,GEN_height,GEN_codec,GEN_pix_fmt,GEN_bitrate_kbps,GEN_nb_frames_meta,REF_md5,GEN_md5,md5_identical,delta_duration_s,delta_fps,delta_width_px,delta_height_px,delta_size_bytes,dur_match,fps_match,dim_match,REF_mean_B,REF_std_B,GEN_mean_B,GEN_std_B,delta_mean_B,REF_mean_G,REF_std_G,GEN_mean_G,GEN_std_G,delta_mean_G,REF_mean_R,REF_std_R,GEN_mean_R,GEN_std_R,delta_mean_R,mae_overall,psnr_dB,mae_B,mae_G,mae_R
03-0045-V-T_HRHCCp_552_360.mp4,both,0.47,470013,5.086957,23.0,552,360,av1,yuv420p,739.2,0,0.384,384224,5.086957,23.0,552,360,av1,yuv420p,604.2,117,fa6ec92841096b7d41632f2b7d82813f,5d82af2fa0b62f6253ec0325f0787f0b,False,0.0,0.0,0,0,-85789,True,True,True,30.743,51.103,30.801,51.109,0.058,30.74,51.101,30.797,51.104,0.057,30.738,51.099,30.794,51.099,0.056,1.4032,38.07,1.4041,1.4027,1.4027
04-0003-K-G_HRHCCp_708_480.mp4,both,0.915,914915,10.0,30.0,708,480,av1,yuv420p,731.9,0,0.772,771969,10.0,30.0,708,480,av1,yuv420p,617.6,300,d8715eff2bc79167588615005cb58f96,93a54b8919fb0f616adb74c5c95e6a63,False,0.0,0.0,0,0,-142946,True,True,True,21.883,37.524,22.542,38.207,0.659,20.168,34.582,20.203,34.655,0.035,18.58,32.721,19.096,32.963,0.516,1.3407,38.9,1.4686,1.2258,1.3278
04-0011-G-C_HRHCCp_708_480.mp4,both,0.966,965872,10.0,30.0,708,480,av1,yuv420p,772.7,0,0.845,845357,10.0,30.0,708,480,av1,yuv420p,676.3,300,1782377355e04a8ae3f5d8161c1441dc,9abffb78ad8e73cf3b5030ae9908801e,False,0.0,0.0,0,0,-120515,True,True,True,23.836,38.427,24.351,39.085,0.515,21.692,35.364,21.746,35.43,0.054,20.256,33.58,20.757,33.901,0.501,1.4101,38.72,1.5097,1.3202,1.4004
04-0028-B-R_HRHCCp_698_480.mp4,both,0.723,722782,9.2,30.0,698,480,av1,yuv420p,628.5,0,0.619,619422,9.2,30.0,698,480,av1,yuv420p,538.6,276,35b8359cd8b633e2acac94ab452a6c0f,382f46e8ac0f56077a9ac48d03a0c63c,False,0.0,0.0,0,0,-103360,True,True,True,22.275,34.661,23.534,36.06,1.259,20.503,31.923,21.232,32.853,0.729,19.176,30.57,19.983,31.396,0.807,1.4834,38.25,1.7178,1.3602,1.3722
04-0036-O-J_HRHCCp_708_480.mp4,both,1.05,1050432,9.933333,30.0,708,480,av1,yuv420p,846.0,0,0.898,898313,9.933333,30.0,708,480,av1,yuv420p,723.5,298,0d8fc33fbc96d8295e3790f18edbf307,ed0bb06206cc142876f0f9f1b1b9cba3,False,0.0,0.0,0,0,-152119,True,True,True,24.36,39.475,24.855,40.044,0.495,22.378,36.441,22.394,36.501,0.016,20.869,34.589,21.273,34.814,0.404,1.3897,38.61,1.5074,1.2957,1.3658
04-0042-P-M_HRHCCp_708_480.mp4,both,0.76,759583,10.0,30.0,708,480,av1,yuv420p,607.7,0,0.677,676636,10.0,30.0,708,480,av1,yuv420p,541.3,300,1e2d5fb3baee85b72ffc5670f049b8cb,dec43adbd744e61141b7e9e03ff110f4,False,0.0,0.0,0,0,-82947,True,True,True,24.727,40.265,25.226,40.927,0.499,22.548,36.996,22.573,36.993,0.025,20.741,34.97,21.358,35.235,0.617,1.3308,38.84,1.4048,1.2152,1.3724
04-0053-B-R_HRHCCp_708_480.mp4,both,0.7,699584,9.866667,30.0,708,480,av1,yuv420p,567.2,0,0.629,629485,9.866667,30.0,708,480,av1,yuv420p,510.4,296,a32e25f3cf9bd87d47bf7a74428165fc,7781d4f922fcc94e805ff4c5306694e4,False,0.0,0.0,0,0,-70099,True,True,True,25.427,36.188,26.122,37.052,0.695,23.257,33.479,23.392,33.591,0.135,21.815,31.77,22.17,31.977,0.355,1.2616,39.28,1.4242,1.1489,1.2119
04-0056-G-G_HRHCCp_708_480.mp4,both,0.829,828640,9.633333,30.0,708,480,av1,yuv420p,688.1,0,0.691,690751,9.633333,30.0,708,480,av1,yuv420p,573.6,289,5701b466cbe323ad7c03eca773abab6a,a2c1f29e6c30dd9a0af08393f80876bb,False,0.0,0.0,0,0,-137889,True,True,True,21.016,34.908,21.557,35.561,0.541,19.286,32.219,19.31,32.241,0.024,17.924,30.588,18.343,30.763,0.419,1.2598,39.06,1.373,1.1593,1.2472
05-0009-V-S_LRnHCC_552_360.mp4,both,0.245,244650,10.038462,26.0,552,360,av1,yuv420p,195.0,0,0.222,222067,10.038462,26.0,552,360,av1,yuv420p,177.0,261,15ed11c47fcb47d4b696a4edefa0f18a,4df0c6e8f7e675ee6c1568c22844b2f3,False,0.0,0.0,0,0,-22583,True,True,True,8.764,24.306,8.911,24.452,0.147,8.762,24.303,8.907,24.439,0.145,8.76,24.298,8.904,24.428,0.144,0.7009,41.79,0.7022,0.7003,0.7001
05-0018-F-F_LRnHCC_700_480.mp4,both,0.625,625239,8.1,20.0,700,480,av1,yuv420p,617.5,0,0.545,545449,8.1,20.0,700,480,av1,yuv420p,538.7,162,a2234417f86655032f16d48bc87609ce,8780b4f92335139c46f362dd4a6fd9fa,False,0.0,0.0,0,0,-79790,True,True,True,19.945,35.383,20.489,35.912,0.544,20.702,35.699,20.204,35.411,-0.498,19.801,35.083,20.373,35.724,0.572,1.9355,34.79,1.9455,1.9426,1.9185
